season,round,driver,circuit_id,era,race_length,actual_cost_seconds,policy_cost_seconds,oracle_cost_seconds,actual_regret_seconds,policy_regret_seconds
2021,9,LEC,red_bull_ring,2018-2021 aero,71,86.8235,67.7835,67.6935,19.129999999999995,0.09000000000000341
2021,9,NOR,red_bull_ring,2018-2021 aero,71,92.70349999999999,67.7835,67.6935,25.00999999999999,0.09000000000000341
2021,9,PER,red_bull_ring,2018-2021 aero,71,89.4435,67.7835,67.6935,21.75,0.09000000000000341
2021,9,RIC,red_bull_ring,2018-2021 aero,71,94.5735,67.7835,67.6935,26.879999999999995,0.09000000000000341
2021,13,VER,zandvoort,2018-2021 aero,72,100.02600000000001,74.123,74.123,25.903000000000006,0.0
2021,14,ALO,monza,2018-2021 aero,53,12.260399999999997,25.767999999999986,8.010399999999995,4.250000000000002,17.75759999999999
2021,14,LAT,monza,2018-2021 aero,53,31.177999999999987,25.767999999999986,8.010399999999995,23.167599999999993,17.75759999999999
2021,14,LEC,monza,2018-2021 aero,53,11.860399999999995,25.767999999999986,8.010399999999995,3.8499999999999996,17.75759999999999
2021,14,MSC,monza,2018-2021 aero,53,31.177999999999987,25.767999999999986,8.010399999999995,23.167599999999993,17.75759999999999
2021,14,NOR,monza,2018-2021 aero,53,30.727999999999987,25.767999999999986,8.010399999999995,22.71759999999999,17.75759999999999
2021,14,OCO,monza,2018-2021 aero,53,11.860399999999995,25.767999999999986,8.010399999999995,3.8499999999999996,17.75759999999999
2021,14,PER,monza,2018-2021 aero,53,11.860399999999995,25.767999999999986,8.010399999999995,3.8499999999999996,17.75759999999999
2021,14,RIC,monza,2018-2021 aero,53,31.647999999999985,25.767999999999986,8.010399999999995,23.637599999999992,17.75759999999999
2021,14,RUS,monza,2018-2021 aero,53,11.860399999999995,25.767999999999986,8.010399999999995,3.8499999999999996,17.75759999999999
2021,14,SAI,monza,2018-2021 aero,53,11.860399999999995,25.767999999999986,8.010399999999995,3.8499999999999996,17.75759999999999
2021,14,STR,monza,2018-2021 aero,53,12.260399999999997,25.767999999999986,8.010399999999995,4.250000000000002,17.75759999999999
2021,14,VET,monza,2018-2021 aero,53,33.53839999999998,25.767999999999986,8.010399999999995,25.527999999999984,17.75759999999999
2021,18,GAS,rodriguez,2018-2021 aero,71,66.77499999999998,44.94499999999997,44.79499999999997,21.980000000000004,0.14999999999999858
2021,18,HAM,rodriguez,2018-2021 aero,71,68.88499999999998,44.94499999999997,44.79499999999997,24.090000000000003,0.14999999999999858
2021,18,LEC,rodriguez,2018-2021 aero,71,67.76499999999999,44.94499999999997,44.79499999999997,22.970000000000013,0.14999999999999858
2021,18,PER,rodriguez,2018-2021 aero,71,63.52499999999998,44.94499999999997,44.79499999999997,18.730000000000004,0.14999999999999858
2021,18,VER,rodriguez,2018-2021 aero,71,65.14499999999998,44.94499999999997,44.79499999999997,20.35000000000001,0.14999999999999858
2021,20,ALO,losail,2018-2021 aero,57,40.22949999999999,28.999499999999983,9.189849999999995,31.039649999999995,19.80964999999999
2021,20,HAM,losail,2018-2021 aero,57,62.91899999999997,28.999499999999983,9.189849999999995,53.729149999999976,19.80964999999999
2021,20,LEC,losail,2018-2021 aero,57,37.46949999999998,28.999499999999983,9.189849999999995,28.27964999999999,19.80964999999999
2021,20,OCO,losail,2018-2021 aero,57,39.449499999999986,28.999499999999983,9.189849999999995,30.259649999999993,19.80964999999999
2021,20,PER,losail,2018-2021 aero,57,62.008999999999965,28.999499999999983,9.189849999999995,52.81914999999997,19.80964999999999
2021,20,SAI,losail,2018-2021 aero,57,37.46949999999998,28.999499999999983,9.189849999999995,28.27964999999999,19.80964999999999
2021,20,STR,losail,2018-2021 aero,57,40.22949999999999,28.999499999999983,9.189849999999995,31.039649999999995,19.80964999999999
2021,22,BOT,yas_marina,2018-2021 aero,58,44.65099999999999,44.53099999999999,30.251299999999993,14.399699999999996,14.279699999999998
2021,22,HAM,yas_marina,2018-2021 aero,58,54.68099999999998,44.53099999999999,30.251299999999993,24.42969999999999,14.279699999999998
2021,22,OCO,yas_marina,2018-2021 aero,58,59.52099999999999,44.53099999999999,30.251299999999993,29.269699999999993,14.279699999999998
2021,22,SAI,yas_marina,2018-2021 aero,58,58.89099999999999,44.53099999999999,30.251299999999993,28.639699999999998,14.279699999999998
2021,22,VET,yas_marina,2018-2021 aero,58,46.02099999999999,44.53099999999999,30.251299999999993,15.769699999999993,14.279699999999998
2022,2,GAS,jeddah,2022-2025 ground-effect,50,10.015999999999998,9.605999999999998,9.605999999999998,0.41000000000000014,0.0
2022,2,LEC,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,2,NOR,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,2,OCO,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,2,PER,jeddah,2022-2025 ground-effect,50,10.015999999999998,9.605999999999998,9.605999999999998,0.41000000000000014,0.0
2022,2,RUS,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,2,SAI,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,2,VER,jeddah,2022-2025 ground-effect,50,9.865999999999998,9.605999999999998,9.605999999999998,0.2599999999999998,0.0
2022,3,BOT,albert_park,2022-2025 ground-effect,58,28.87699999999999,6.132099999999996,6.132099999999996,22.744899999999994,0.0
2022,3,GAS,albert_park,2022-2025 ground-effect,58,27.92699999999999,6.132099999999996,6.132099999999996,21.79489999999999,0.0
2022,3,HAM,albert_park,2022-2025 ground-effect,58,28.87699999999999,6.132099999999996,6.132099999999996,22.744899999999994,0.0
2022,3,LEC,albert_park,2022-2025 ground-effect,58,28.87699999999999,6.132099999999996,6.132099999999996,22.744899999999994,0.0
2022,3,NOR,albert_park,2022-2025 ground-effect,58,27.04699999999999,6.132099999999996,6.132099999999996,20.914899999999996,0.0
2022,3,OCO,albert_park,2022-2025 ground-effect,58,24.806999999999988,6.132099999999996,6.132099999999996,18.674899999999994,0.0
2022,3,PER,albert_park,2022-2025 ground-effect,58,27.04699999999999,6.132099999999996,6.132099999999996,20.914899999999996,0.0
2022,3,RIC,albert_park,2022-2025 ground-effect,58,27.92699999999999,6.132099999999996,6.132099999999996,21.79489999999999,0.0
2022,3,RUS,albert_park,2022-2025 ground-effect,58,15.672099999999997,6.132099999999996,6.132099999999996,9.540000000000001,0.0
2022,3,ZHO,albert_park,2022-2025 ground-effect,58,27.92699999999999,6.132099999999996,6.132099999999996,21.79489999999999,0.0
2022,5,ALB,miami,2022-2025 ground-effect,57,55.04400000000002,44.85400000000001,39.53320000000001,15.51080000000001,5.3208000000000055
2022,5,ALO,miami,2022-2025 ground-effect,57,56.31400000000002,44.85400000000001,39.53320000000001,16.780800000000013,5.3208000000000055
2022,5,BOT,miami,2022-2025 ground-effect,57,47.47400000000002,44.85400000000001,39.53320000000001,7.94080000000001,5.3208000000000055
2022,5,HAM,miami,2022-2025 ground-effect,57,49.33400000000002,44.85400000000001,39.53320000000001,9.80080000000001,5.3208000000000055
2022,5,LEC,miami,2022-2025 ground-effect,57,48.18400000000002,44.85400000000001,39.53320000000001,8.650800000000011,5.3208000000000055
2022,5,MSC,miami,2022-2025 ground-effect,57,73.74800000000003,44.85400000000001,39.53320000000001,34.214800000000025,5.3208000000000055
2022,5,PER,miami,2022-2025 ground-effect,57,42.53720000000002,44.85400000000001,39.53320000000001,3.004000000000012,5.3208000000000055
2022,5,SAI,miami,2022-2025 ground-effect,57,47.28400000000002,44.85400000000001,39.53320000000001,7.750800000000012,5.3208000000000055
2022,5,VER,miami,2022-2025 ground-effect,57,47.47400000000002,44.85400000000001,39.53320000000001,7.94080000000001,5.3208000000000055
2022,8,ALO,baku,2022-2025 ground-effect,51,34.195999999999984,11.298799999999995,11.298799999999995,22.89719999999999,0.0
2022,8,GAS,baku,2022-2025 ground-effect,51,24.588799999999996,11.298799999999995,11.298799999999995,13.290000000000001,0.0
2022,8,NOR,baku,2022-2025 ground-effect,51,32.905999999999985,11.298799999999995,11.298799999999995,21.60719999999999,0.0
2022,8,VET,baku,2022-2025 ground-effect,51,24.588799999999996,11.298799999999995,11.298799999999995,13.290000000000001,0.0
2022,9,ALO,villeneuve,2022-2025 ground-effect,70,36.27749999999999,7.822499999999996,7.692499999999996,28.584999999999994,0.1299999999999999
2022,9,MAG,villeneuve,2022-2025 ground-effect,70,118.475,7.822499999999996,7.692499999999996,110.7825,0.1299999999999999
2022,9,OCO,villeneuve,2022-2025 ground-effect,70,33.31499999999999,7.822499999999996,7.692499999999996,25.622499999999995,0.1299999999999999
2022,11,HAM,red_bull_ring,2022-2025 ground-effect,71,121.487,101.14699999999999,88.87154999999998,32.61545000000001,12.275450000000006
2022,12,ALB,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,ALO,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,HAM,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,NOR,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,OCO,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,PER,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,RIC,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,RUS,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,STR,ricard,2022-2025 ground-effect,53,51.1954,60.498,45.1408,6.054600000000001,15.357199999999999
2022,12,VER,ricard,2022-2025 ground-effect,53,70.568,60.498,45.1408,25.4272,15.357199999999999
2022,12,VET,ricard,2022-2025 ground-effect,53,50.1654,60.498,45.1408,5.0245999999999995,15.357199999999999
2022,13,NOR,hungaroring,2022-2025 ground-effect,70,101.60899999999998,90.24899999999998,90.17899999999997,11.430000000000007,0.07000000000000739
2022,14,ALB,spa,2022-2025 ground-effect,44,51.45800000000002,34.274000000000015,26.2562,25.20180000000002,8.017800000000015
2022,14,NOR,spa,2022-2025 ground-effect,44,51.06800000000002,34.274000000000015,26.2562,24.81180000000002,8.017800000000015
2022,14,OCO,spa,2022-2025 ground-effect,44,54.69800000000002,34.274000000000015,26.2562,28.441800000000022,8.017800000000015
2022,14,RIC,spa,2022-2025 ground-effect,44,54.69800000000002,34.274000000000015,26.2562,28.441800000000022,8.017800000000015
2022,14,SAI,spa,2022-2025 ground-effect,44,57.16800000000002,34.274000000000015,26.2562,30.91180000000002,8.017800000000015
2022,14,VET,spa,2022-2025 ground-effect,44,53.72800000000002,34.274000000000015,26.2562,27.471800000000023,8.017800000000015
2022,16,DEV,monza,2022-2025 ground-effect,53,48.68799999999999,47.01799999999999,35.79079999999999,12.897199999999998,11.227199999999996
2022,16,GAS,monza,2022-2025 ground-effect,53,60.11799999999999,47.01799999999999,35.79079999999999,24.327199999999998,11.227199999999996
2022,16,OCO,monza,2022-2025 ground-effect,53,60.28799999999998,47.01799999999999,35.79079999999999,24.497199999999992,11.227199999999996
2022,16,ZHO,monza,2022-2025 ground-effect,53,60.11799999999999,47.01799999999999,35.79079999999999,24.327199999999998,11.227199999999996
2022,19,LEC,americas,2022-2025 ground-effect,56,48.28464999999998,37.834149999999994,37.44829999999999,10.836349999999989,0.3858500000000049
2022,19,PER,americas,2022-2025 ground-effect,56,64.16099999999996,37.834149999999994,37.44829999999999,26.71269999999997,0.3858500000000049
2022,19,VER,americas,2022-2025 ground-effect,56,64.37099999999995,37.834149999999994,37.44829999999999,26.922699999999963,0.3858500000000049
2022,20,HAM,rodriguez,2022-2025 ground-effect,71,54.30499999999997,46.65499999999997,46.21049999999997,8.094500000000004,0.444500000000005
2022,20,LEC,rodriguez,2022-2025 ground-effect,71,57.97499999999997,46.65499999999997,46.21049999999997,11.764500000000005,0.444500000000005
2022,20,PER,rodriguez,2022-2025 ground-effect,71,55.02499999999998,46.65499999999997,46.21049999999997,8.81450000000001,0.444500000000005
2022,20,SAI,rodriguez,2022-2025 ground-effect,71,59.214999999999975,46.65499999999997,46.21049999999997,13.004500000000007,0.444500000000005
2022,20,VER,rodriguez,2022-2025 ground-effect,71,55.564999999999976,46.65499999999997,46.21049999999997,9.354500000000009,0.444500000000005
2022,22,LEC,yas_marina,2022-2025 ground-effect,58,88.99099999999999,88.981,88.981,0.009999999999990905,0.0
2022,22,NOR,yas_marina,2022-2025 ground-effect,58,91.34199999999997,88.981,88.981,2.360999999999976,0.0
2022,22,RIC,yas_marina,2022-2025 ground-effect,58,89.64099999999999,88.981,88.981,0.6599999999999966,0.0
2022,22,RUS,yas_marina,2022-2025 ground-effect,58,91.94199999999998,88.981,88.981,2.9609999999999843,0.0
2022,22,STR,yas_marina,2022-2025 ground-effect,58,92.09199999999997,88.981,88.981,3.110999999999976,0.0
2022,22,VER,yas_marina,2022-2025 ground-effect,58,89.21099999999998,88.981,88.981,0.22999999999998977,0.0
2022,22,VET,yas_marina,2022-2025 ground-effect,58,90.19099999999997,88.981,88.981,1.2099999999999795,0.0
2023,2,ALO,jeddah,2022-2025 ground-effect,50,9.655999999999999,9.605999999999998,9.605999999999998,0.05000000000000071,0.0
2023,2,DEV,jeddah,2022-2025 ground-effect,50,9.735999999999997,9.605999999999998,9.605999999999998,0.129999999999999,0.0
2023,2,GAS,jeddah,2022-2025 ground-effect,50,25.819999999999993,9.605999999999998,9.605999999999998,16.213999999999995,0.0
2023,2,HUL,jeddah,2022-2025 ground-effect,50,26.499999999999993,9.605999999999998,9.605999999999998,16.893999999999995,0.0
2023,2,LEC,jeddah,2022-2025 ground-effect,50,30.519999999999992,9.605999999999998,9.605999999999998,20.913999999999994,0.0
2023,2,MAG,jeddah,2022-2025 ground-effect,50,27.289999999999992,9.605999999999998,9.605999999999998,17.683999999999994,0.0
2023,2,OCO,jeddah,2022-2025 ground-effect,50,25.489999999999995,9.605999999999998,9.605999999999998,15.883999999999997,0.0
2023,2,PER,jeddah,2022-2025 ground-effect,50,9.655999999999999,9.605999999999998,9.605999999999998,0.05000000000000071,0.0
2023,2,RUS,jeddah,2022-2025 ground-effect,50,9.655999999999999,9.605999999999998,9.605999999999998,0.05000000000000071,0.0
2023,2,SAI,jeddah,2022-2025 ground-effect,50,25.639999999999993,9.605999999999998,9.605999999999998,16.033999999999995,0.0
2023,2,TSU,jeddah,2022-2025 ground-effect,50,9.735999999999997,9.605999999999998,9.605999999999998,0.129999999999999,0.0
2023,2,VER,jeddah,2022-2025 ground-effect,50,9.655999999999999,9.605999999999998,9.605999999999998,0.05000000000000071,0.0
2023,2,ZHO,jeddah,2022-2025 ground-effect,50,34.99599999999999,9.605999999999998,9.605999999999998,25.38999999999999,0.0
2023,4,ALB,baku,2022-2025 ground-effect,51,42.98599999999998,27.88599999999998,13.868799999999995,29.11719999999999,14.017199999999987
